subset,unit,N,method,lam,skill,rmse,rmse_early,false_alarm,detect_corr,res_norm,sol_norm,delta
DS02,11,1,B,0.01,-253.39558490585745,1.3308901826398383,0.9488641399833162,0.02518767920935688,0.14954900463373366,8.388240456904704,30.718271241169735,25.995102860684536
DS02,11,1,D,0.01,-1.1300722043690947,0.12178241981282012,0.012737574793952423,0.0024332622363795044,0.9880371843746538,22.35005423120099,3.2806185128239074,25.995102860684536
DS02,11,1,B,0.03162277660168379,-112.8923387724101,0.8905015756337952,0.635184900222228,0.024645443240032996,0.17078415020145044,8.947129296199286,20.603426864401108,25.995102860684536
DS02,11,1,D,0.03162277660168379,-1.1299270366208218,0.1217782699110355,0.012737114844716164,0.002433414987303451,0.9880371081283038,22.350054592908396,3.2805001019681876,25.995102860684536
DS02,11,1,B,0.1,-26.37060130909034,0.43654559058784614,0.31258559681558745,0.02433005562096856,0.23720592601933746,9.865238341830048,10.245965239428992,25.995102860684536
DS02,11,1,D,0.1,-1.1294681061628422,0.12176514956300312,0.012735660656100134,0.002433897733496687,0.9880368669562818,22.350058209004864,3.2801257186664055,25.995102860684536
DS02,11,1,B,0.31622776601683794,-3.2066527983216977,0.17114167208758904,0.12660770563811524,0.02430545386653498,0.4292004418902205,10.534292988796642,4.421678026294879,25.995102860684536
DS02,11,1,D,0.31622776601683794,-0.7789734929334802,0.11129410853546207,0.012733665143536894,0.0024122419074812606,0.9468213256355781,22.357075430203352,3.092523292994001,25.995102860684536
DS02,11,1,B,1.0,0.3152827697468562,0.06904672194886455,0.06056638486067175,0.024102626154847526,0.736662760320133,10.830785295952872,2.5708560020509337,25.995102860684536
DS02,11,1,D,1.0,0.244373954891141,0.07253387775768154,0.012726055446816991,0.002341107995275795,0.9822597717800794,22.39563424844741,2.4871835491768337,25.995102860684536
DS02,11,1,B,3.1622776601683795,0.7410839945406581,0.042458718854734144,0.04603794222957589,0.023389316015051138,0.8616244826602877,10.942914081885148,2.2445847266670524,25.995102860684536
DS02,11,1,D,3.1622776601683795,0.6727555878390139,0.04773353041482961,0.012667167591962894,0.0022887716846557117,0.9838788987657364,22.45007571678794,2.1999330822717953,25.995102860684536
DS02,11,1,B,10.0,0.8175915545284903,0.035637719702593045,0.04060622320747616,0.021503323531702173,0.8846465958211995,11.035857157963456,2.163659312230251,25.995102860684536
DS02,11,1,D,10.0,0.8712005541920391,0.029946387073944983,0.012516343738060222,0.0022910044550413598,0.9810096719457536,22.519398826901497,2.063614470414911,25.995102860684536
DS02,11,1,B,31.622776601683793,0.874721299345721,0.02953425748371048,0.03310854885496879,0.017978795845856425,0.9009379058883313,11.43196283650587,2.057036140619022,25.995102860684536
DS02,11,1,D,31.622776601683793,0.9360295236403401,0.021104605038121827,0.012017522207474237,0.0025286035873093807,0.9775308552255537,22.65029330284881,1.9882069237351279,25.995102860684536
DS02,11,1,B,100.0,0.9130290157923797,0.0246079042913472,0.02412234793552262,0.015080093918626542,0.9256115020636507,13.287155548827421,1.8677087786963862,25.995102860684536
DS02,11,1,D,100.0,0.9533260412301731,0.01802705383632883,0.008509740186588101,0.004039975771866911,0.9756099077657888,23.48582685414784,1.8273485084673549,25.995102860684536
DS02,11,1,B,316.22776601683796,0.8725216140229983,0.029792415394066206,0.01646924421205505,0.013935904773774193,0.9498629694820059,19.11639632968543,1.5803523602198881,25.995102860684536
DS02,11,1,D,316.22776601683796,0.8933793813866755,0.02724633145678354,0.005272931051751181,0.006387966494412895,0.9747675464976934,26.92941465602673,1.5600315639593167,25.995102860684536
